method,path_length,path_depth,query_length,body_length,content_length,path_entropy,query_entropy,url_entropy,ua_length,ua_is_bot,ua_is_scanner,ua_is_suspicious,special_chars_path,special_chars_query,special_chars_body,has_sql_injection,has_path_traversal,has_command_injection,has_xss,has_php_exploit,is_post,is_get,is_uncommon_method,has_extension,suspicious_extension,common_exploit_path,label
GET,1,1,0,0,0,-0.0,0.0,-0.0,111,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,attack
POST,1,1,0,638,638,-0.0,0.0,-0.0,60,False,False,False,0,0,74,1,0,1,0,0,1,0,0,0,0,0,attack
GET,1,1,0,0,0,-0.0,0.0,-0.0,111,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,attack
POST,12,1,63,241,241,3.0220552088742005,4.263469832518041,4.295889803381238,15,True,False,True,0,0,16,1,0,1,0,1,1,0,0,1,0,0,attack
POST,1,1,63,241,241,-0.0,4.263469832518041,4.267375797816042,15,True,False,True,0,0,16,1,0,1,0,1,1,0,0,0,0,0,attack
GET,51,7,0,33,33,4.1054420682284825,0.0,4.1054420682284825,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,47,6,0,33,33,4.027473159958119,0.0,4.027473159958119,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,43,6,0,33,33,4.175696440497044,0.0,4.175696440497044,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,39,5,0,33,33,4.109138039864114,0.0,4.109138039864114,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,46,5,0,33,33,4.2326037389862705,0.0,4.2326037389862705,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,58,8,0,33,33,4.118431805652036,0.0,4.118431805652036,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,44,6,0,33,33,3.992856050160461,0.0,3.992856050160461,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,40,5,0,33,33,3.8561983328100955,0.0,3.8561983328100955,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,36,5,0,33,33,4.083274571476652,0.0,4.083274571476652,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,32,4,0,33,33,3.952819531114783,0.0,3.952819531114783,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,48,7,0,33,33,4.021721616561627,0.0,4.021721616561627,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,44,6,0,33,33,3.8936622325104544,0.0,3.8936622325104544,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,40,6,0,33,33,4.0964393446710154,0.0,4.0964393446710154,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,36,5,0,33,33,3.9721634603655414,0.0,3.9721634603655414,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,55,8,0,33,33,4.133556250195738,0.0,4.133556250195738,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
GET,59,8,0,33,33,4.132063176223803,0.0,4.132063176223803,15,True,False,True,0,0,8,1,0,0,0,1,0,1,0,1,1,1,attack
